pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
103.4,-71.44,90.0,bottom,D1,,DO-35,Diode,tht,True
122.45,-71.44,90.0,bottom,D2,,DO-35,Diode,tht,True
141.41,-71.44,90.0,bottom,D3,,DO-35,Diode,tht,True
103.4,-90.49,90.0,bottom,D4,,DO-35,Diode,tht,True
122.45,-90.49,90.0,bottom,D5,,DO-35,Diode,tht,True
141.5,-90.49,90.0,bottom,D6,,DO-35,Diode,tht,True
103.4,-109.54,90.0,bottom,D7,,DO-35,Diode,tht,True
122.45,-109.54,90.0,bottom,D8,,DO-35,Diode,tht,True
141.5,-109.54,90.0,bottom,D9,,DO-35,Diode,tht,True
96.35,-45.92,-90.0,top,RV1,,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,R_Potentiometer,tht,True
115.4,-45.92,-90.0,top,RV2,,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,R_Potentiometer,tht,True
134.45,-45.92,-90.0,top,RV3,,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,R_Potentiometer,tht,True
93.85,-68.92,0.0,top,S1,,MX_PCB_1.00u,Keyswitch,tht,True
112.9,-68.92,0.0,top,S2,,MX_PCB_1.00u,Keyswitch,tht,True
131.95,-68.92,0.0,top,S3,,MX_PCB_1.00u,Keyswitch,tht,True
93.85,-87.97,0.0,top,S4,,MX_PCB_1.00u,Keyswitch,tht,True
112.9,-87.97,0.0,top,S5,,MX_PCB_1.00u,Keyswitch,tht,True
131.95,-87.97,0.0,top,S6,,MX_PCB_1.00u,Keyswitch,tht,True
93.85,-107.02,0.0,top,S7,,MX_PCB_1.00u,Keyswitch,tht,True
112.9,-107.02,0.0,top,S8,,MX_PCB_1.00u,Keyswitch,tht,True
131.95,-107.02,0.0,top,S9,,MX_PCB_1.00u,Keyswitch,tht,True
115.4,-30.92,90.0,top,U1,,Arduino_Pro_Micro,Arduino_Pro_Micro,tht,True
