Designator,Mid X,Mid Y,Rotation,Layer
D1,103.4,-67.63,90.0,bottom
D2,122.45,-67.63,90.0,bottom
D3,141.41,-67.63,90.0,bottom
D4,103.4,-86.68,90.0,bottom
D5,122.45,-86.68,90.0,bottom
D6,141.5,-86.68,90.0,bottom
D7,103.4,-105.73,90.0,bottom
D8,122.45,-105.73,90.0,bottom
D9,141.5,-105.73,90.0,bottom
RV1,94.0,-52.0,180.0,top
RV2,113.0,-52.0,180.0,top
RV3,131.95,-52.0,180.0,top
S1,93.85,-68.92,0.0,top
S2,112.9,-68.92,0.0,top
S3,131.95,-68.92,0.0,top
S4,93.85,-87.97,0.0,top
S5,112.9,-87.97,0.0,top
S6,131.95,-87.97,0.0,top
S7,93.85,-107.02,0.0,top
S8,112.9,-107.02,0.0,top
S9,131.95,-107.02,0.0,top
U1,114.13,-30.92,90.0,top
