Designator,Mid X,Mid Y,Rotation,Layer
D1,104.8,-74.91,90.0,bottom
D2,123.85,-74.91,90.0,bottom
D3,142.81,-74.91,90.0,bottom
D4,104.8,-93.96,90.0,bottom
D5,123.85,-93.96,90.0,bottom
D6,142.9,-93.96,90.0,bottom
D7,104.8,-113.01,90.0,bottom
D8,123.85,-113.01,90.0,bottom
D9,142.9,-113.01,90.0,bottom
RV1,95.25,-58.925,270.0,top
RV2,114.3,-58.925,270.0,top
RV3,133.35,-58.925,270.0,top
S1,95.25,-76.2,0.0,top
S2,114.3,-76.2,0.0,top
S3,133.35,-76.2,0.0,top
S4,95.25,-95.25,0.0,top
S5,114.3,-95.25,0.0,top
S6,133.35,-95.25,0.0,top
S7,95.25,-114.3,0.0,top
S8,114.3,-114.3,0.0,top
S9,133.35,-114.3,0.0,top
U1,115.53,-38.2,90.0,top
