Designator,Mid X,Mid Y,Rotation,Layer
D1,106.5,-102.71,90.0,bottom
D2,125.55,-102.71,90.0,bottom
D3,144.51,-102.71,90.0,bottom
D4,106.5,-121.76,90.0,bottom
D5,125.55,-121.76,90.0,bottom
D6,144.6,-121.76,90.0,bottom
D7,106.5,-140.81,90.0,bottom
D8,125.55,-140.81,90.0,bottom
D9,144.6,-140.81,90.0,bottom
DISPLAY,134.545,-48.1,270.0,top
J2,127.14,-70.85,270.0,top
J4,148.7,-63.3,0.0,top
MICROFON,141.15,-63.3,0.0,top
PROXI,115.99,-153.6,270.0,top
RV1,96.95,-83.8,270.0,top
RV2,116.0,-83.8,270.0,top
RV3,135.05,-83.8,270.0,top
S1,96.95,-104.0,0.0,top
S2,116.0,-104.0,0.0,top
S3,135.05,-104.0,0.0,top
S4,96.95,-123.05,0.0,top
S5,116.0,-123.05,0.0,top
S6,135.05,-123.05,0.0,top
S7,96.95,-142.1,0.0,top
S8,116.0,-142.1,0.0,top
S9,135.05,-142.1,0.0,top
U3,101.1125,-45.84,0.0,top
