Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
CARD-READER1,PinHeader_1x06_P2.54mm_Vertical,1,Card_reader,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",DO-35,9,Diode,
DISPLAY1,PinHeader_1x08_P2.54mm_Vertical,1,ST7789,
MCU1,MODULE_ESP32-DEVKITC-32D,1,ESP32-DEVKITC-32D,
MICORFON_S1,PinHeader_1x03_P2.54mm_Vertical,1,IMNP441_stanga,
MICROFON_D1,PinHeader_1x03_P2.54mm_Vertical,1,IMNP441_Dreapta,
PROXI1,PinHeader_1x06_P2.54mm_Vertical,1,VL53L0X,
Q1,TO-92_Inline,1,S8050,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,R,
"RV1, RV2, RV3",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,3,R_Potentiometer,
"S1, S2, S3, S4, S5, S6, S7, S8, S9",MX_PCB_1.00u,9,Keyswitch,
