Varsta 23
Ocupatie Student
Mana dreptaci
Foloseste dreapta

=== SESSION START: 2025-06-13 19:22:39 ===
[2025-06-13 19:22:39.060] UART: {'type': 'volume', 'key': '0', 'value': 1730}
[2025-06-13 19:22:39.070] UART: {'type': 'proxy', 'key': 'distance', 'value': 52}
[2025-06-13 19:22:39.074] UART: {'type': 'volume', 'key': '0', 'value': 1573}
[2025-06-13 19:22:39.083] UART: {'type': 'proxy', 'key': 'distance', 'value': 49}
[2025-06-13 19:22:39.172] UART: {'type': 'volume', 'key': '0', 'value': 1405}
[2025-06-13 19:22:39.222] UART: {'type': 'proxy', 'key': 'distance', 'value': 49}
[2025-06-13 19:22:39.826] UART: {'type': 'volume', 'key': '1', 'value': 1679}
[2025-06-13 19:22:39.871] UART: {'type': 'proxy', 'key': 'distance', 'value': 40}
[2025-06-13 19:22:39.959] UART: {'type': 'volume', 'key': '1', 'value': 1584}
[2025-06-13 19:22:40.009] UART: {'type': 'proxy', 'key': 'distance', 'value': 43}
[2025-06-13 19:22:40.612] UART: {'type': 'volume', 'key': '2', 'value': 3615}
[2025-06-13 19:22:40.650] UART: {'type': 'proxy', 'key': 'distance', 'value': 71}
[2025-06-13 19:22:40.759] UART: {'type': 'volume', 'key': '2', 'value': 3500}
[2025-06-13 19:22:40.794] UART: {'type': 'proxy', 'key': 'distance', 'value': 70}
[2025-06-13 19:22:41.802] UART: {'type': 'volume', 'key': '2', 'value': 3595}
[2025-06-13 19:22:41.838] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-13 19:22:41.940] UART: {'type': 'volume', 'key': '2', 'value': 3680}
[2025-06-13 19:22:41.982] UART: {'type': 'proxy', 'key': 'distance', 'value': 59}
[2025-06-13 19:22:42.088] UART: {'type': 'volume', 'key': '2', 'value': 3735}
[2025-06-13 19:22:42.132] UART: {'type': 'proxy', 'key': 'distance', 'value': 64}
[2025-06-13 19:22:44.041] UART: {'type': 'volume', 'key': '0', 'value': 1468}
[2025-06-13 19:22:44.069] UART: {'type': 'proxy', 'key': 'distance', 'value': 51}
[2025-06-13 19:22:44.578] UART: {'type': 'volume', 'key': '0', 'value': 1555}
[2025-06-13 19:22:44.615] UART: {'type': 'proxy', 'key': 'distance', 'value': 49}
[2025-06-13 19:22:44.816] UART: {'type': 'volume', 'key': '1', 'value': 1638}
[2025-06-13 19:22:44.859] UART: {'type': 'proxy', 'key': 'distance', 'value': 50}
[2025-06-13 19:22:45.063] UART: {'type': 'volume', 'key': '0', 'value': 1606}
