Varsta 23
Ocupatie Inginer
Mana dreptaci
Foloseste stanga

=== SESSION START: 2025-06-13 20:12:55 ===
[2025-06-13 20:12:55.705] UART: {'type': 'key', 'key': 'pressed', 'value': 57}
[2025-06-13 20:12:55.793] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:13:29.234] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:13:29.246] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:13:39.703] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:13:39.711] UART: {'type': 'proxy', 'key': 'distance', 'value': 61}
[2025-06-13 20:13:52.253] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:13:52.264] UART: {'type': 'proxy', 'key': 'distance', 'value': 8191}
[2025-06-13 20:13:53.304] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:13:53.350] UART: {'type': 'proxy', 'key': 'distance', 'value': 0}
[2025-06-13 20:14:01.750] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:14:01.760] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:14:05.179] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:14:05.219] UART: {'type': 'proxy', 'key': 'distance', 'value': 8191}
[2025-06-13 20:14:13.923] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-13 20:14:13.963] UART: {'type': 'proxy', 'key': 'distance', 'value': 29}
[2025-06-13 20:14:15.182] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:14:15.210] UART: {'type': 'proxy', 'key': 'distance', 'value': 8191}
[2025-06-13 20:14:24.177] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:14:24.187] UART: {'type': 'proxy', 'key': 'distance', 'value': 68}
[2025-06-13 20:14:35.735] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:14:35.749] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:14:39.151] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:14:39.164] UART: {'type': 'proxy', 'key': 'distance', 'value': 63}
[2025-06-13 20:14:52.411] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:14:52.424] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:14:54.918] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:14:54.929] UART: {'type': 'proxy', 'key': 'distance', 'value': 41}
[2025-06-13 20:15:09.703] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:15:09.713] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-13 20:15:11.147] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:15:11.186] UART: {'type': 'proxy', 'key': 'distance', 'value': 67}
[2025-06-13 20:15:18.152] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:15:18.169] UART: {'type': 'proxy', 'key': 'distance', 'value': 26}
[2025-06-13 20:15:22.428] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:15:22.474] UART: {'type': 'proxy', 'key': 'distance', 'value': 70}
[2025-06-13 20:15:29.336] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:15:29.345] UART: {'type': 'proxy', 'key': 'distance', 'value': 21}
[2025-06-13 20:15:31.718] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:15:31.762] UART: {'type': 'proxy', 'key': 'distance', 'value': 60}
[2025-06-13 20:15:42.987] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:15:43.006] UART: {'type': 'proxy', 'key': 'distance', 'value': 26}
[2025-06-13 20:15:45.234] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:15:45.246] UART: {'type': 'proxy', 'key': 'distance', 'value': 20}
[2025-06-13 20:15:59.704] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:15:59.718] UART: {'type': 'proxy', 'key': 'distance', 'value': 75}
[2025-06-13 20:16:07.144] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:16:07.161] UART: {'type': 'proxy', 'key': 'distance', 'value': 82}
[2025-06-13 20:16:15.641] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:16:15.654] UART: {'type': 'proxy', 'key': 'distance', 'value': 71}
[2025-06-13 20:16:23.548] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:16:23.568] UART: {'type': 'proxy', 'key': 'distance', 'value': 60}
[2025-06-13 20:16:27.297] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-13 20:16:27.317] UART: {'type': 'proxy', 'key': 'distance', 'value': 42}
[2025-06-13 20:16:28.169] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:16:28.196] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:16:28.800] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:16:28.842] UART: {'type': 'proxy', 'key': 'distance', 'value': 72}
[2025-06-13 20:16:39.240] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:16:39.487] UART: {'type': 'proxy', 'key': 'distance', 'value': 76}
[2025-06-13 20:16:44.562] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:16:44.570] UART: {'type': 'proxy', 'key': 'distance', 'value': 31}
[2025-06-13 20:16:48.832] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:16:48.840] UART: {'type': 'proxy', 'key': 'distance', 'value': 59}
[2025-06-13 20:17:01.233] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:17:01.244] UART: {'type': 'proxy', 'key': 'distance', 'value': 51}
[2025-06-13 20:17:15.202] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-13 20:17:15.210] UART: {'type': 'proxy', 'key': 'distance', 'value': 43}
[2025-06-13 20:17:16.964] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:17:17.008] UART: {'type': 'proxy', 'key': 'distance', 'value': 30}
[2025-06-13 20:17:18.417] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:17:18.463] UART: {'type': 'proxy', 'key': 'distance', 'value': 48}
[2025-06-13 20:17:41.337] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:17:41.346] UART: {'type': 'proxy', 'key': 'distance', 'value': 64}
[2025-06-13 20:17:42.099] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:17:42.138] UART: {'type': 'proxy', 'key': 'distance', 'value': 57}
[2025-06-13 20:18:01.735] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:18:01.743] UART: {'type': 'proxy', 'key': 'distance', 'value': 43}
[2025-06-13 20:18:10.643] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-13 20:18:10.650] UART: {'type': 'proxy', 'key': 'distance', 'value': 45}
[2025-06-13 20:18:11.850] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:18:11.870] UART: {'type': 'proxy', 'key': 'distance', 'value': 29}
[2025-06-13 20:18:14.077] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:18:14.120] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-13 20:18:18.910] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:18:18.921] UART: {'type': 'proxy', 'key': 'distance', 'value': 50}
[2025-06-13 20:18:31.224] UART: {'type': 'volume', 'key': '1', 'value': 127}
[2025-06-13 20:18:31.247] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:32.286] UART: {'type': 'volume', 'key': '1', 'value': 40}
[2025-06-13 20:18:32.312] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:34.618] UART: {'type': 'volume', 'key': '1', 'value': 113}
[2025-06-13 20:18:34.646] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:34.745] UART: {'type': 'volume', 'key': '1', 'value': 213}
[2025-06-13 20:18:34.766] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:34.876] UART: {'type': 'volume', 'key': '1', 'value': 290}
[2025-06-13 20:18:34.892] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:34.996] UART: {'type': 'volume', 'key': '1', 'value': 343}
[2025-06-13 20:18:35.022] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:35.124] UART: {'type': 'volume', 'key': '1', 'value': 399}
[2025-06-13 20:18:35.145] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:35.449] UART: {'type': 'volume', 'key': '1', 'value': 463}
[2025-06-13 20:18:35.475] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:36.283] UART: {'type': 'volume', 'key': '1', 'value': 556}
[2025-06-13 20:18:36.306] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:36.410] UART: {'type': 'volume', 'key': '1', 'value': 666}
[2025-06-13 20:18:36.431] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:36.547] UART: {'type': 'volume', 'key': '1', 'value': 765}
[2025-06-13 20:18:36.565] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:36.660] UART: {'type': 'volume', 'key': '1', 'value': 862}
[2025-06-13 20:18:36.683] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:36.783] UART: {'type': 'volume', 'key': '1', 'value': 950}
[2025-06-13 20:18:36.810] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:36.913] UART: {'type': 'volume', 'key': '1', 'value': 1079}
[2025-06-13 20:18:36.939] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:37.037] UART: {'type': 'volume', 'key': '1', 'value': 1227}
[2025-06-13 20:18:37.064] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:37.172] UART: {'type': 'volume', 'key': '1', 'value': 1365}
[2025-06-13 20:18:37.192] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:37.298] UART: {'type': 'volume', 'key': '1', 'value': 1521}
[2025-06-13 20:18:37.334] UART: {'type': 'proxy', 'key': 'distance', 'value': 8191}
[2025-06-13 20:18:37.441] UART: {'type': 'volume', 'key': '1', 'value': 1599}
[2025-06-13 20:18:37.460] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:37.978] UART: {'type': 'volume', 'key': '1', 'value': 1838}
[2025-06-13 20:18:37.996] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:38.093] UART: {'type': 'volume', 'key': '1', 'value': 2174}
[2025-06-13 20:18:38.115] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:38.216] UART: {'type': 'volume', 'key': '1', 'value': 2383}
[2025-06-13 20:18:38.240] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:38.342] UART: {'type': 'volume', 'key': '1', 'value': 2454}
[2025-06-13 20:18:38.369] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:38.475] UART: {'type': 'volume', 'key': '1', 'value': 2550}
[2025-06-13 20:18:38.497] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:38.603] UART: {'type': 'volume', 'key': '1', 'value': 2702}
[2025-06-13 20:18:38.624] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:38.726] UART: {'type': 'volume', 'key': '1', 'value': 2822}
[2025-06-13 20:18:38.750] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:39.352] UART: {'type': 'volume', 'key': '1', 'value': 3051}
