Varsta 22
Ocupatie Inginer
Mana stangaci
Foloseste stanga

=== SESSION START: 2025-06-14 13:15:38 ===
[2025-06-14 13:15:38.386] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-14 13:15:38.688] UART: {'type': 'proxy', 'key': 'distance', 'value': 46}
[2025-06-14 13:15:40.775] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-14 13:15:40.821] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-14 13:15:42.023] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-14 13:15:42.060] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-14 13:15:44.726] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-14 13:15:44.733] UART: {'type': 'proxy', 'key': 'distance', 'value': 65}
[2025-06-14 13:15:48.390] UART: {'type': 'volume', 'key': '1', 'value': 220}
[2025-06-14 13:15:48.418] UART: {'type': 'proxy', 'key': 'distance', 'value': 43}
[2025-06-14 13:15:48.454] UART: {'type': 'volume', 'key': '1', 'value': 157}
[2025-06-14 13:15:48.493] UART: {'type': 'proxy', 'key': 'distance', 'value': 42}
[2025-06-14 13:15:49.003] UART: {'type': 'volume', 'key': '1', 'value': 99}
[2025-06-14 13:15:49.040] UART: {'type': 'proxy', 'key': 'distance', 'value': 44}
[2025-06-14 13:15:49.841] UART: {'type': 'volume', 'key': '1', 'value': 16}
[2025-06-14 13:15:49.887] UART: {'type': 'proxy', 'key': 'distance', 'value': 41}
[2025-06-14 13:15:53.966] UART: {'type': 'volume', 'key': '1', 'value': 185}
[2025-06-14 13:15:53.988] UART: {'type': 'proxy', 'key': 'distance', 'value': 28}
[2025-06-14 13:15:54.034] UART: {'type': 'volume', 'key': '1', 'value': 599}
[2025-06-14 13:15:54.069] UART: {'type': 'proxy', 'key': 'distance', 'value': 27}
[2025-06-14 13:15:54.379] UART: {'type': 'volume', 'key': '1', 'value': 779}
[2025-06-14 13:15:54.414] UART: {'type': 'proxy', 'key': 'distance', 'value': 28}
[2025-06-14 13:15:54.530] UART: {'type': 'volume', 'key': '1', 'value': 1076}
[2025-06-14 13:15:54.565] UART: {'type': 'proxy', 'key': 'distance', 'value': 32}
[2025-06-14 13:15:54.763] UART: {'type': 'volume', 'key': '1', 'value': 1221}
[2025-06-14 13:15:54.802] UART: {'type': 'proxy', 'key': 'distance', 'value': 29}
[2025-06-14 13:15:54.908] UART: {'type': 'volume', 'key': '1', 'value': 1646}
[2025-06-14 13:15:54.948] UART: {'type': 'proxy', 'key': 'distance', 'value': 26}
[2025-06-14 13:15:55.052] UART: {'type': 'volume', 'key': '1', 'value': 1855}
[2025-06-14 13:15:55.089] UART: {'type': 'proxy', 'key': 'distance', 'value': 26}
[2025-06-14 13:15:55.193] UART: {'type': 'volume', 'key': '1', 'value': 1977}
[2025-06-14 13:15:55.237] UART: {'type': 'proxy', 'key': 'distance', 'value': 26}
[2025-06-14 13:15:55.544] UART: {'type': 'volume', 'key': '1', 'value': 2034}
[2025-06-14 13:15:55.582] UART: {'type': 'proxy', 'key': 'distance', 'value': 27}
[2025-06-14 13:15:55.679] UART: {'type': 'volume', 'key': '1', 'value': 2437}
[2025-06-14 13:15:55.727] UART: {'type': 'proxy', 'key': 'distance', 'value': 28}
[2025-06-14 13:15:55.838] UART: {'type': 'volume', 'key': '1', 'value': 2929}
[2025-06-14 13:15:55.868] UART: {'type': 'proxy', 'key': 'distance', 'value': 27}
[2025-06-14 13:15:55.967] UART: {'type': 'volume', 'key': '1', 'value': 3275}
[2025-06-14 13:15:56.022] UART: {'type': 'proxy', 'key': 'distance', 'value': 27}
[2025-06-14 13:15:56.115] UART: {'type': 'volume', 'key': '1', 'value': 3399}
[2025-06-14 13:15:56.155] UART: {'type': 'proxy', 'key': 'distance', 'value': 26}
[2025-06-14 13:15:57.059] UART: {'type': 'volume', 'key': '1', 'value': 3191}
[2025-06-14 13:15:57.099] UART: {'type': 'proxy', 'key': 'distance', 'value': 32}
[2025-06-14 13:15:57.200] UART: {'type': 'volume', 'key': '1', 'value': 2809}
[2025-06-14 13:15:57.243] UART: {'type': 'proxy', 'key': 'distance', 'value': 32}
[2025-06-14 13:15:57.548] UART: {'type': 'volume', 'key': '1', 'value': 2720}
[2025-06-14 13:15:57.587] UART: {'type': 'proxy', 'key': 'distance', 'value': 31}
[2025-06-14 13:15:57.691] UART: {'type': 'volume', 'key': '1', 'value': 2325}
[2025-06-14 13:15:57.728] UART: {'type': 'proxy', 'key': 'distance', 'value': 31}
[2025-06-14 13:15:58.036] UART: {'type': 'volume', 'key': '1', 'value': 2184}
[2025-06-14 13:15:58.073] UART: {'type': 'proxy', 'key': 'distance', 'value': 29}
[2025-06-14 13:15:58.176] UART: {'type': 'volume', 'key': '1', 'value': 1920}
[2025-06-14 13:15:58.219] UART: {'type': 'proxy', 'key': 'distance', 'value': 33}
[2025-06-14 13:15:58.525] UART: {'type': 'volume', 'key': '1', 'value': 1715}
[2025-06-14 13:15:58.568] UART: {'type': 'proxy', 'key': 'distance', 'value': 31}
[2025-06-14 13:15:58.665] UART: {'type': 'volume', 'key': '1', 'value': 1619}
[2025-06-14 13:15:58.709] UART: {'type': 'proxy', 'key': 'distance', 'value': 34}
[2025-06-14 13:16:57.853] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:16:57.867] UART: {'type': 'proxy', 'key': 'distance', 'value': 62}
[2025-06-14 13:17:02.121] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:17:02.131] UART: {'type': 'proxy', 'key': 'distance', 'value': 33}
[2025-06-14 13:17:59.376] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-14 13:17:59.385] UART: {'type': 'proxy', 'key': 'distance', 'value': 78}
[2025-06-14 13:18:01.545] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-14 13:18:01.584] UART: {'type': 'proxy', 'key': 'distance', 'value': 37}
[2025-06-14 13:18:04.662] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-14 13:18:04.669] UART: {'type': 'proxy', 'key': 'distance', 'value': 39}
[2025-06-14 13:18:05.630] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-14 13:18:05.669] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-14 13:18:11.573] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
