Varsta 22
Ocupatie Student
Mana dreptaci
Foloseste dreapta

=== SESSION START: 2025-06-13 19:42:00 ===
[2025-06-13 19:42:00.388] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 19:42:00.454] UART: {'type': 'proxy', 'key': 'distance', 'value': 42}
[2025-06-13 19:42:51.064] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 19:42:51.082] UART: {'type': 'proxy', 'key': 'distance', 'value': 35}
[2025-06-13 19:44:05.561] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 19:44:05.593] UART: {'type': 'proxy', 'key': 'distance', 'value': 291}
[2025-06-13 19:44:49.575] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-13 19:44:49.592] UART: {'type': 'proxy', 'key': 'distance', 'value': 78}
[2025-06-13 19:44:53.849] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-13 19:44:54.285] UART: {'type': 'proxy', 'key': 'distance', 'value': 132}
[2025-06-13 19:45:00.276] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 19:45:00.292] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:45:06.919] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 19:45:06.937] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:45:09.105] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 19:45:09.135] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:45:22.055] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 19:45:22.070] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-13 19:45:26.446] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 19:45:26.462] UART: {'type': 'proxy', 'key': 'distance', 'value': 32}
[2025-06-13 19:46:15.070] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 19:46:15.115] UART: {'type': 'proxy', 'key': 'distance', 'value': 80}
[2025-06-13 19:49:44.573] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 19:49:44.592] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-13 19:49:46.524] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 19:49:46.561] UART: {'type': 'proxy', 'key': 'distance', 'value': 38}
[2025-06-13 19:49:55.645] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 19:49:55.653] UART: {'type': 'proxy', 'key': 'distance', 'value': 43}
[2025-06-13 19:50:08.405] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 19:50:08.414] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:50:11.116] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 19:50:11.128] UART: {'type': 'proxy', 'key': 'distance', 'value': 48}
[2025-06-13 19:52:20.575] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 19:52:20.586] UART: {'type': 'proxy', 'key': 'distance', 'value': 120}
[2025-06-13 19:52:23.042] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 19:52:23.090] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:56:37.187] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 19:56:37.200] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:32.555] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-13 20:04:32.563] UART: {'type': 'proxy', 'key': 'distance', 'value': 74}
[2025-06-13 20:04:33.488] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:04:33.522] UART: {'type': 'proxy', 'key': 'distance', 'value': 35}
[2025-06-13 20:04:34.227] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:04:34.268] UART: {'type': 'proxy', 'key': 'distance', 'value': 32}
[2025-06-13 20:04:35.171] UART: {'type': 'volume', 'key': '0', 'value': 143}
[2025-06-13 20:04:35.210] UART: {'type': 'proxy', 'key': 'distance', 'value': 50}
[2025-06-13 20:04:35.316] UART: {'type': 'volume', 'key': '0', 'value': 346}
[2025-06-13 20:04:35.360] UART: {'type': 'proxy', 'key': 'distance', 'value': 59}
[2025-06-13 20:04:36.263] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:04:36.299] UART: {'type': 'proxy', 'key': 'distance', 'value': 42}
[2025-06-13 20:04:38.462] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:04:38.472] UART: {'type': 'proxy', 'key': 'distance', 'value': 52}
[2025-06-13 20:04:38.477] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:04:38.502] UART: {'type': 'proxy', 'key': 'distance', 'value': 53}
[2025-06-13 20:04:38.820] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:04:38.837] UART: {'type': 'proxy', 'key': 'distance', 'value': 50}
[2025-06-13 20:04:39.936] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:04:39.979] UART: {'type': 'proxy', 'key': 'distance', 'value': 53}
[2025-06-13 20:04:42.342] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
