
=== SESSION START: 2025-06-12 22:25:36 ===
[2025-06-12 22:25:36.697] UART: {'type': 'volume', 'key': '1', 'value': 123}
[2025-06-12 22:25:36.715] UART: {'type': 'proxy', 'key': 'distance', 'value': 66}
[2025-06-12 22:25:36.830] UART: {'type': 'volume', 'key': '1', 'value': 176}
[2025-06-12 22:25:36.870] UART: {'type': 'proxy', 'key': 'distance', 'value': 64}
[2025-06-12 22:25:37.277] UART: {'type': 'volume', 'key': '1', 'value': 250}
[2025-06-12 22:25:37.315] UART: {'type': 'proxy', 'key': 'distance', 'value': 68}
[2025-06-12 22:25:37.422] UART: {'type': 'volume', 'key': '1', 'value': 358}
[2025-06-12 22:25:37.460] UART: {'type': 'proxy', 'key': 'distance', 'value': 66}
[2025-06-12 22:25:37.567] UART: {'type': 'volume', 'key': '1', 'value': 473}
[2025-06-12 22:25:37.603] UART: {'type': 'proxy', 'key': 'distance', 'value': 65}
[2025-06-12 22:25:41.011] UART: {'type': 'volume', 'key': '1', 'value': 527}
[2025-06-12 22:25:41.046] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-12 22:25:41.650] UART: {'type': 'volume', 'key': '1', 'value': 589}
[2025-06-12 22:25:41.690] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-12 22:25:41.796] UART: {'type': 'volume', 'key': '1', 'value': 642}
[2025-06-12 22:25:41.835] UART: {'type': 'proxy', 'key': 'distance', 'value': 70}
[2025-06-12 22:25:42.243] UART: {'type': 'volume', 'key': '1', 'value': 720}
[2025-06-12 22:25:42.281] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-12 22:25:42.878] UART: {'type': 'volume', 'key': '1', 'value': 783}
[2025-06-12 22:25:42.924] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-12 22:25:43.122] UART: {'type': 'volume', 'key': '1', 'value': 894}
[2025-06-12 22:25:43.168] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-12 22:25:43.272] UART: {'type': 'volume', 'key': '1', 'value': 965}
[2025-06-12 22:25:43.309] UART: {'type': 'proxy', 'key': 'distance', 'value': 67}
[2025-06-12 22:25:43.416] UART: {'type': 'volume', 'key': '1', 'value': 1034}
[2025-06-12 22:25:43.453] UART: {'type': 'proxy', 'key': 'distance', 'value': 75}
[2025-06-12 22:25:43.559] UART: {'type': 'volume', 'key': '1', 'value': 1155}
[2025-06-12 22:25:43.598] UART: {'type': 'proxy', 'key': 'distance', 'value': 70}
[2025-06-12 22:25:44.098] UART: {'type': 'volume', 'key': '1', 'value': 1250}
[2025-06-12 22:25:44.154] UART: {'type': 'proxy', 'key': 'distance', 'value': 68}
[2025-06-12 22:25:44.249] UART: {'type': 'volume', 'key': '1', 'value': 1457}
[2025-06-12 22:25:44.286] UART: {'type': 'proxy', 'key': 'distance', 'value': 68}
[2025-06-12 22:25:44.389] UART: {'type': 'volume', 'key': '1', 'value': 1581}
[2025-06-12 22:25:44.435] UART: {'type': 'proxy', 'key': 'distance', 'value': 74}
[2025-06-12 22:25:44.534] UART: {'type': 'volume', 'key': '1', 'value': 1675}
[2025-06-12 22:25:44.572] UART: {'type': 'proxy', 'key': 'distance', 'value': 75}
[2025-06-12 22:25:44.684] UART: {'type': 'volume', 'key': '1', 'value': 1757}
[2025-06-12 22:25:44.717] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-12 22:25:44.822] UART: {'type': 'volume', 'key': '1', 'value': 1819}
[2025-06-12 22:25:44.862] UART: {'type': 'proxy', 'key': 'distance', 'value': 74}
[2025-06-12 22:25:45.568] UART: {'type': 'volume', 'key': '1', 'value': 1953}
[2025-06-12 22:25:45.606] UART: {'type': 'proxy', 'key': 'distance', 'value': 52}
[2025-06-12 22:25:45.711] UART: {'type': 'volume', 'key': '1', 'value': 2137}
[2025-06-12 22:25:45.748] UART: {'type': 'proxy', 'key': 'distance', 'value': 58}
[2025-06-12 22:25:52.619] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-12 22:25:52.754] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-12 22:25:54.892] UART: {'type': 'volume', 'key': '1', 'value': 2201}
[2025-06-12 22:25:54.910] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-12 22:25:54.939] UART: {'type': 'volume', 'key': '1', 'value': 2315}
[2025-06-12 22:25:54.983] UART: {'type': 'proxy', 'key': 'distance', 'value': 51}
[2025-06-12 22:26:01.587] UART: {'type': 'volume', 'key': '1', 'value': 2405}
[2025-06-12 22:26:01.626] UART: {'type': 'proxy', 'key': 'distance', 'value': 24}
[2025-06-12 22:26:03.526] UART: {'type': 'volume', 'key': '1', 'value': 2503}
[2025-06-12 22:26:03.573] UART: {'type': 'proxy', 'key': 'distance', 'value': 31}
[2025-06-12 22:26:03.672] UART: {'type': 'volume', 'key': '1', 'value': 2622}
[2025-06-12 22:26:03.716] UART: {'type': 'proxy', 'key': 'distance', 'value': 35}
[2025-06-12 22:26:04.223] UART: {'type': 'volume', 'key': '1', 'value': 2677}
[2025-06-12 22:26:04.257] UART: {'type': 'proxy', 'key': 'distance', 'value': 34}
[2025-06-12 22:26:04.963] UART: {'type': 'volume', 'key': '1', 'value': 2746}
[2025-06-12 22:26:05.000] UART: {'type': 'proxy', 'key': 'distance', 'value': 37}
[2025-06-12 22:26:05.111] UART: {'type': 'volume', 'key': '1', 'value': 2797}
[2025-06-12 22:26:05.148] UART: {'type': 'proxy', 'key': 'distance', 'value': 39}
[2025-06-12 22:26:06.551] UART: {'type': 'volume', 'key': '1', 'value': 2873}
[2025-06-12 22:26:06.591] UART: {'type': 'proxy', 'key': 'distance', 'value': 44}
[2025-06-12 22:26:08.989] UART: {'type': 'volume', 'key': '1', 'value': 2976}
[2025-06-12 22:26:09.007] UART: {'type': 'proxy', 'key': 'distance', 'value': 46}
[2025-06-12 22:26:09.236] UART: {'type': 'volume', 'key': '1', 'value': 3027}
[2025-06-12 22:26:09.278] UART: {'type': 'proxy', 'key': 'distance', 'value': 45}
[2025-06-12 22:28:20.051] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 22:28:20.062] UART: {'type': 'proxy', 'key': 'distance', 'value': 48}
[2025-06-12 22:28:22.242] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:28:22.266] UART: {'type': 'proxy', 'key': 'distance', 'value': 45}
[2025-06-12 22:28:35.339] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-12 22:28:35.350] UART: {'type': 'proxy', 'key': 'distance', 'value': 34}
[2025-06-12 22:28:36.424] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 22:28:36.455] UART: {'type': 'proxy', 'key': 'distance', 'value': 44}
[2025-06-12 22:28:44.963] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:28:45.009] UART: {'type': 'proxy', 'key': 'distance', 'value': 54}
[2025-06-12 22:30:04.579] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:30:04.589] UART: {'type': 'proxy', 'key': 'distance', 'value': 45}
[2025-06-12 22:30:56.527] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-12 22:30:56.541] UART: {'type': 'proxy', 'key': 'distance', 'value': 35}
[2025-06-12 22:31:04.463] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:31:04.472] UART: {'type': 'proxy', 'key': 'distance', 'value': 43}
[2025-06-12 22:31:54.553] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:31:54.565] UART: {'type': 'proxy', 'key': 'distance', 'value': 48}
[2025-06-12 22:33:12.028] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-12 22:33:12.040] UART: {'type': 'proxy', 'key': 'distance', 'value': 42}
[2025-06-12 22:33:12.430] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 22:33:12.469] UART: {'type': 'proxy', 'key': 'distance', 'value': 50}
[2025-06-12 22:33:19.968] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:33:19.977] UART: {'type': 'proxy', 'key': 'distance', 'value': 34}
[2025-06-12 22:34:20.028] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 22:34:20.037] UART: {'type': 'proxy', 'key': 'distance', 'value': 53}
[2025-06-12 22:34:23.737] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:34:23.750] UART: {'type': 'proxy', 'key': 'distance', 'value': 48}
[2025-06-12 22:35:49.807] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-12 22:35:49.815] UART: {'type': 'proxy', 'key': 'distance', 'value': 53}
[2025-06-12 22:36:12.140] UART: {'type': 'volume', 'key': '1', 'value': 3083}
[2025-06-12 22:36:12.175] UART: {'type': 'proxy', 'key': 'distance', 'value': 25}
[2025-06-12 22:36:12.178] UART: {'type': 'volume', 'key': '1', 'value': 3149}
[2025-06-12 22:36:12.199] UART: {'type': 'proxy', 'key': 'distance', 'value': 24}
[2025-06-12 22:36:12.202] UART: {'type': 'volume', 'key': '1', 'value': 3231}
